episode_count,baker,signature,technical,showstopper,result,series
1,Annetha,Light Jamaican Black Cake with Strawberries and Cream,2nd,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Safe,1
1,David,Chocolate Orange Cake,3rd,"Black Forest Floor Gateau with Chocolate Leaves, Fallen Fruit, and Chocolate Mushrooms",Safe,1
1,Edd,Caramel Cinnamon and Banana Cake,1st,UNKNOWN,Safe,1
1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,—,UNKNOWN,Safe,1
1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,9th,Three Tiered White and Dark Chocolate with Almond and Cherry,Safe,1
1,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,10th,Raspberries and Cream-filled Chocolate Cake with Chocolate-dipped Fresh Fruit,Eliminated,1
1,Louise,Carrot and Orange Cake,—,Never Fail Chocolate Sponge Cake with Fresh Fruit,Safe,1
1,Mark,Sticky Marmalade Tea Loaf,—,Heart-shaped Chocolate and Beetroot Cake,Eliminated,1
1,Miranda,Triple Layered Brownie Meringue Cake with Raspberry Cream,8th,Three Tiered Chocolate Fudge Cake with Handmade Chocolate Button Decorations,Safe,1
1,Ruth,Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,—,Classic Chocolate Sponge wrapped in a Chocolate Collar topped with Handmade White and Dark Chocolate Truffles,Safe,1
2,Annetha,Rose Petal Shortbread,7th,Pink Swirl MacaronsEclairs,Eliminated,1
2,David,Cheddar Cheese and Fresh Rosemary Biscuits,8th,Choux Pastry SwansPlain Meringues,Safe,1
2,Edd,Oatmeal Raisin Cookies,6th,Pink MacaronsPassion Fruit Meringues,Safe,1
2,Jasminder,Millionaires' Shortbread,2nd,Meringues with Chocolate and Space DustCoffee Flavoured Eclairs,Safe,1
2,Jonathan,Ginger and Honey Cookies,1st,Meringues with Whiskey Cream and Chocolate,Safe,1
2,Louise,Stained Glass Window Shortbread,4th,"Strawberry, Mint, and Cream Meringue BasketsChocolate EclairsOrange, Yellow and Pink Macarons",Eliminated,1
2,Miranda,Fresh Vanilla Biscuits with Royal Icing,3rd,Pistachio Macarons,Safe,1
2,Ruth,Peanut Shortbread with Salted Peanut Caramel,5th,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Safe,1
3,David,Chilli Bread,4th,Walnut and Seed RollRed Berry and Almond BunTomato and Herb Rolls,Safe,1
3,Edd,Olive Bread with Fennel and Cumin,1st,"Tomato, Mozzarella, and Chorizo RollsChelsea BunsHot Cross Buns",Safe,1
3,Jasminder,Focaccia with Sun-Dried Tomato and Rosemary,5th,Mango and Sultana BunsPain au Chocolat with Mars BarsTutti Frutti Wheels with Jelly TotsTomato and Cheese Rolls,Safe,1
3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6th,"Sticky Lemon Honey BunsOlive and Anchovy RollsSun-Dried Tomato and Fresh Herb RollsStilton, Walnut and Braeburn Apple RollsCinnamon, Cardamom, and Sultana Chelsea Buns with Icing",Eliminated,1
3,Miranda,Walnut and Apricot Bread,3rd,Lemon Iced BunsChocolate and Orange BunsCranberry Buns with Icing Sugar,Safe,1
3,Ruth,Maple and Pecan Bread,2nd,Chocolate and Orange PanettoneCranberry Bagels,Safe,1
4,David,Pear and Walnut Pudding,5th,Apple and Blackberry CrumbleRhubarb and Orange BettySuet Pear,Eliminated,1
4,Edd,Apple and Plum Pudding with Rum Caramel Sauce,3rd,Apple and Cinnamon CrumbleNutella Banana Brioche Bread PuddingRhubarb and Strawberry Suet Layer,Safe,1
4,Jasminder,Sticky Toffee Pudding,2nd,Bread & Butter PuddingTreacle Suet Pudding with Fresh FruitApple and Pineapple Crumble,Safe,1
4,Miranda,Sticky Toffee Pudding with Caramelised Walnuts,1st,Queen of PuddingsChocolate Pear Roly PolyStrawberry and Rhubarb Crumble,Safe,1
