version,version_season,season_name,season,location,country,tribe_setup,n_cast,n_tribes,n_finalists,n_jury,full_name,winner_id,winner,runner_ups,final_vote,timeslot,premiered,ended,filming_started,filming_ended,viewers_reunion,viewers_premiere,viewers_finale,viewers_mean,rank,imdb_mean,imdb_min,imdb_max,country2
US,US01,Survivor: Borneo,1,"Pulau Tiga, Sabah, Malaysia",Malaysia,Two tribes of eight new players,16,2,2,7,Richard Hatch,US0016,Richard,Kelly Wiglesworth,4-3,Wednesday 8:00 pm,2000-05-31,2001-05-03,2000-03-13,2000-04-20,36.7,15510000,51690000,26395384.615384616,3,7.5285714285714285,6.5,8.5,Other
US,US02,Survivor: The Australian Outback,2,"Herbert River at Goshen Station, Queensland, Australia",Australia,Two tribes of eight new players,16,2,2,7,Tina Wesson,US0032,Tina,Colby Donaldson,4-3,Thursday 8:00 pm,2001-01-28,2002-01-10,2000-10-23,2000-12-03,28.01,45370000,36350000,30285000,2,7.45625,6.1,8.4,Other
US,US03,Survivor: Africa,3,"Shaba National Reserve, Kenya",Kenya,Two tribes of eight new players,16,2,2,7,Ethan Zohn,US0048,Ethan,Kim Johnson,5-2,Thursday 8:00 pm,2001-10-11,2002-05-19,2001-07-11,2001-08-18,19.05,23840000,27260000,20408461.53846154,9,7.333333333333333,6.2,7.8,Other
US,US04,Survivor: Marquesas,4,"Nuku Hiva, Marquesas Islands, French Polynesia",France,Two tribes of eight new players,16,2,2,7,Vecepia Towery,US0064,Vecepia,Neleh Dennis,4-3,Thursday 8:00 pm,2002-02-28,2002-12-19,2001-11-12,2001-12-20,19.05,23190000,25870000,21281538.46153846,5,7.58,5.4,8.1,Other
US,US05,Survivor: Thailand,5,"Ko Tarutao, Satun Province, Thailand",Thailand,Two tribes of eight new players; picked by the two oldest players,16,2,2,7,Brian Heidik,US0080,Brian,Clay Jordan,4-3,Thursday 8:00 pm,2002-09-19,2003-05-11,2002-06-10,2002-07-18,20.43,23050000,24080000,21120000,6,7.446666666666667,5.8,7.8,Other
US,US06,Survivor: The Amazon,6,"Rio Negro, Amazonas, Brazil",Brazil,Two tribes of eight new players divided by gender,16,2,2,7,Jenna Morasca,US0096,Jenna,Matthew Von Ertfelda,6-1,Thursday 8:00 pm,2003-02-13,2003-12-14,2002-11-07,2002-12-15,20.43,23260000,22290000,19949230.769230768,10,7.773333333333333,6.6,8.4,Other
US,US07,Survivor: Pearl Islands,7,"Pearl Islands, Panama",Panama,Two tribes of eight new players,16,2,2,7,Sandra Diaz-Twine,US0112,Sandra,Lillian Morris,6-1,Thursday 8:00 pm,2003-09-18,2004-05-09,2003-06-23,2003-07-31,21.87,21500000,25230000,20977142.85714286,7,8.26,7.9,8.8,Panama
US,US08,Survivor: All-Stars,8,"Pearl Islands, Panama",Panama,Three tribes of six returning players,18,3,2,7,Amber Brkich,US0027,Amber,Rob Mariano,4-3,Thursday 8:00 pm,2004-02-01,2004-12-12,2003-11-03,2003-12-11,21.87,33270000,24760000,22692666.666666668,4,7.741176470588235,7.3,8.3,Panama
US,US09,Survivor: Vanuatu,9,"Efate, Shefa, Vanuatu",Vanuatu,Two tribes of nine new players divided by gender,18,2,2,7,Chris Daugherty,US0130,Chris,Twila Tanner,5-2,Thursday 8:00 pm,2004-09-16,2005-05-15,2004-06-28,2004-08-05,15.23,20060000,19720000,19882307.692307692,11,7.593333333333334,6.7,8.2,Other
US,US10,Survivor: Palau,10,"Koror, Palau",Palau,A schoolyard pick of two tribes of nine new players each; two eliminated without a tribe,20,3,2,7,Tom Westman,US0150,Tom,Katie Gallagher,6-1,Thursday 8:00 pm,2005-02-17,2005-12-11,2004-10-27,2004-12-04,15.23,23660000,20800000,20456923.076923076,8,7.973333333333334,7.4,8.4,Other
US,US11,Survivor: Guatemala,11,"Laguna Yaxha, Yaxha-Nakum-Naranjo National Park, Peten, Guatemala",Guatemala,"Two tribes of nine, including two returning players",18,2,2,7,Danni Boatwright,US0166,Danni,Stephenie LaGrossa,6-1,Thursday 8:00 pm,2005-09-15,2006-05-14,2005-06-27,2005-08-04,15.21,18410000,21180000,18602857.14285714,12,7.713333333333334,7.3,8,Other
US,US12,Survivor: Panama,12,"Pearl Islands, Panama",Panama,Four tribes of four new players divided by age and gender,16,4,2,7,Aras Baskauskas,US0182,Aras,Danielle DiLorenzo,5-2,Thursday 8:00 pm,2006-02-02,2006-12-17,2005-10-31,2005-12-08,15.21,19200000,17070000,16680714.285714285,13,7.46875,6.4,8,Panama
US,US13,Survivor: Cook Islands,13,"Aitutaki, Cook Islands",Islands,"Four tribes of five new players divided by ethnicity: African Americans, Whites, Hispanics, and Asians",20,4,3,9,Yul Kwon,US0202,Yul,"Ozzy Lusth, Becky Lee",5-4-0,Thursday 8:00 pm,2006-09-14,2007-05-13,2006-06-26,2006-08-03,13.53,18000000,16420000,15642857.142857144,14,7.69375,6.2,8.5,Other
US,US14,Survivor: Fiji,14,"Macuata, Vanua Levu, Fiji",Fiji,"Two tribes of nine new players divided by one selected castaway, who would replace the first person voted out",19,2,3,9,Earl Cole,US0221,Earl,"Cassandra Franklin, Andria Herd",9-0-0,Thursday 8:00 pm,2007-02-08,2007-12-16,2006-10-30,2006-12-07,13.53,16440000,13630000,14077857.142857144,16,7.1466666666666665,6.6,8,Fiji
US,US15,Survivor: China,15,"Zhelin, Jiujiang, Jiangxi, China",China,Two tribes of eight new players,16,2,3,7,Todd Herzog,US0237,Todd,"Courtney Yates, Amanda Kimmel",4-2-1,Thursday 8:00 pm,2007-09-20,2008-05-11,2007-06-25,2007-08-02,12.22,15350000,15180000,14363076.923076924,15,7.586666666666667,6.5,8.1,Other
