state,Event,City,race_url,date,Finishers,top_result_m,top_result_f,distance,elevation_rating,surface_rating
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/08/21,121,5:23:55,6:30:42,34 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/11/20,Race Cancelled,Race Cancelled,Race Cancelled,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/19,Race Cancelled,Race Cancelled,Race Cancelled,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/18,49,9:13:44,10:15:45,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/08/17,149,7:52:41,10:06:15,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/08/16,128,7:49:36,10:08:09,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/10/15,100,8:10:45,10:28:47,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/11/14,61,8:30:08,10:54:03,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/13,53,8:53:44,14:04:55,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/12,39,9:56:39,9:30:32,50 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/10/20,Race Cancelled,Race Cancelled,Race Cancelled,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/12/19,Race Cancelled,Race Cancelled,Race Cancelled,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/18,20,28:09:14,30:49:28,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/07/17,48,19:42:48,22:34:11,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/08/16,52,20:43:45,23:46:36,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/10/15,46,18:04:00,24:53:10,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/11/14,26,20:30:52,23:21:02,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/12/13,23,21:46:18,26:47:20,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/13/12,30,21:16:04,30:10:06,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/08/11,16,21:53:05,26:13:36,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/09/10,17,23:21:21,30:00:44,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/10/09,11,26:18:21,28:49:53,100 Miles,3,3
Minnesota,Zumbro,Theilman,https://calendar.ultrarunning.com/event/zumbro,04/10/09,5,13:51:30,13:07:47,100 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/17/21,105,3:41:23,5:24:01,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,07/12/20,Race Cancelled,Race Cancelled,Race Cancelled,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/13/19,95,4:31:13,5:04:20,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/21/18,75,4:14:08,4:58:49,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/22/17,142,3:33:08,4:37:37,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/16/16,103,3:30:58,4:54:55,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/18/15,114,3:40:48,4:00:28,50 KM,3,3
Minnesota,Trail Mix,Rockford,https://calendar.ultrarunning.com/event/trail-mix,04/12/14,66,3:50:36,5:08:31,50 KM,3,3
