day,month,temp
1,Jan,11.8
1,Feb,20
1,Mar,36
1,Apr,34.5
1,May,44.5
1,Jun,60.5
1,Jul,75.5
1,Aug,75
1,Sep,78
1,Oct,64
1,Nov,56
1,Dec,19.5
2,Jan,10
2,Feb,1.5
2,Mar,28.5
2,Apr,44.5
2,May,44.5
2,Jun,66
2,Jul,72
2,Aug,80
2,Sep,78
2,Oct,65
2,Nov,64.5
2,Dec,26.5
3,Jan,20.8
3,Feb,-1
3,Mar,21
3,Apr,35.5
3,May,50.5
3,Jun,61.5
3,Jul,75
3,Aug,79
3,Sep,67.5
3,Oct,66.5
3,Nov,56
3,Dec,9
4,Jan,27.5
4,Feb,2.5
4,Mar,29.5
4,Apr,39
4,May,52
4,Jun,64
4,Jul,79
4,Aug,72.5
4,Sep,63.5
4,Oct,67.5
4,Nov,40.5
4,Dec,21
5,Jan,18.3
5,Feb,9.5
5,Mar,33
5,Apr,39.5
5,May,56
5,Jun,64.5
5,Jul,80.5
5,Aug,79.5
5,Sep,67.5
5,Oct,65.5
5,Nov,37
5,Dec,23
6,Jan,4.3
6,Feb,12.5
6,Mar,26
6,Apr,36.5
6,May,58.5
6,Jun,68
6,Jul,74.5
6,Aug,75.5
6,Sep,72
6,Oct,52.5
6,Nov,43.5
6,Dec,20.5
7,Jan,3.8
7,Feb,9
7,Mar,22.5
7,Apr,34
7,May,62
7,Jun,64.5
7,Jul,79
7,Aug,68.5
7,Sep,77.5
7,Oct,43.5
7,Nov,32
7,Dec,16.5
8,Jan,14.8
8,Feb,27.5
8,Mar,30.5
8,Apr,39.5
8,May,58.5
8,Jun,68
8,Jul,77.5
8,Aug,67
8,Sep,78
8,Oct,49
8,Nov,42.5
8,Dec,18
9,Jan,10.5
9,Feb,28
9,Mar,18
9,Apr,41.5
9,May,72.5
9,Jun,68
9,Jul,76
9,Aug,72
9,Sep,68
9,Oct,56
9,Nov,57
9,Dec,29.5
10,Jan,-2.5
10,Feb,26.5
10,Mar,17
10,Apr,48.5
10,May,68.5
10,Jun,71.5
10,Jul,77
10,Aug,77
10,Sep,64.5
10,Oct,57.5
10,Nov,47
10,Dec,32.5
11,Jan,20.5
11,Feb,20.5
11,Mar,12.5
11,Apr,49
11,May,71
11,Jun,73
11,Jul,77.5
11,Aug,74
11,Sep,62.5
11,Oct,67
11,Nov,28
11,Dec,32.5
12,Jan,33.5
12,Feb,-1.5
12,Mar,14.5
12,Apr,48.5
12,May,75.5
12,Jun,71
12,Jul,75.5
12,Aug,67.5
12,Sep,64.5
12,Oct,53.5
12,Nov,28
12,Dec,32.5
13,Jan,30
13,Feb,1.5
13,Mar,33.5
13,Apr,39.5
13,May,68
13,Jun,74
13,Jul,71
13,Aug,68.5
13,Sep,67.5
13,Oct,40
13,Nov,26
13,Dec,35
14,Jan,18
14,Feb,11.5
14,Mar,33
14,Apr,31.5
14,May,66.5
14,Jun,84
14,Jul,74.5
