iata,airport,city,latitude,longitude
00M,Thigpen ,"Bay Springs, MS",31.95376472,-89.23450472
00R,Livingston Municipal,"Livingston, TX",30.68586111,-95.01792778
00V,Meadow Lake,"Colorado Springs, CO",38.94574889,-104.5698933
01G,Perry-Warsaw,"Perry, NY",42.74134667,-78.05208056
01J,Hilliard Airpark,"Hilliard, FL",30.6880125,-81.90594389
01M,Tishomingo County,"Belmont, MS",34.49166667,-88.20111111
02A,Gragg-Wade ,"Clanton, AL",32.85048667,-86.61145333
02C,Capitol,Brookfield,WI,43.08751,-88.17786917
02G,Columbiana County,East Liverpool,OH,40.67331278,-80.64140639
03D,Memphis Memorial,Memphis,MO,40.44725889,-92.22696056
04M,Calhoun County,Pittsboro,MS,33.93011222,-89.34285194
04Y,Hawley Municipal,Hawley,MN,46.88384889,-96.35089861
05C,Griffith-Merrillville ,Griffith,IN,41.51961917,-87.40109333
05F,Gatesville - City/County,Gatesville,TX,31.42127556,-97.79696778
05U,Eureka,Eureka,NV,39.60416667,-116.0050597
06A,Moton  Municipal,Tuskegee,AL,32.46047167,-85.68003611
06C,Schaumburg,Chicago/Schaumburg,IL,41.98934083,-88.10124278
06D,Rolla Municipal,Rolla,ND,48.88434111,-99.62087694
06M,Eupora Municipal,Eupora,MS,33.53456583,-89.31256917
06N,Randall ,Middletown,NY,41.43156583,-74.39191722
06U,Jackpot/Hayden ,Jackpot,NV,41.97602222,-114.6580911
