fun,class_year,northfield_food
Doomscroll or play video games,Senior,New Buffet
Mostly finance stuff 9reading blogs/watching videos/reading books etc) and I also box,Junior,Red barn
"I play video games, read, and watch movies and shows.",Junior,Desi Diner
Exercise!,Junior,Burton Dining Hall
"Volleyball, read, pickleball, weightlifting. ",Senior,Any of the food trucks outside Imminent 
drawing ,Junior,New Buffet 
"I used to skateboard a lot as a kid, although I stopped because the risk of injury is high; I am more happy to go running or something. I also like running.",Senior,Hogan Brothers.
"I love to go out to eat at new restaurants with my boyfriend, crochet, read, build wooden puzzles, and regularly visit the makerspace to learn anything new!",Sophomore,Quarterback!
"I like running, art/crafts, playing guitar, and listening to music",Junior,
"Read, write, watch anime, play the piano",Senior,
Cook lots of spicy food,Sophomore,Desi Diner 
,Junior,the co-op
