Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
United States,947249345,285308,366844,666511603,200751,599365053,232118,268556888,80.9,237108015,91.8,229359062,69.1,203495848,78.8,570072625,72479490,344684420,34817500,31451000,1041300,N/A,18956612,249495031,18042918,397196666,31817560,71979,791315,58631223,95,51549923,94.1,180958795,330265,1728810,255260888,90,219051501,77.3,639433590,225534,334103,266616782,85.4,228378510,73.1,662750084,212240,303348,49578531,14.9,49555336,15.9,48522128,17.1,46882482,18.2,21346882,39,1748066,49860478
Alaska,2080445,284391,377192,1308299,178841,1161594,210601,532770,72.8,465453,84.4,475494,65,417273,75.7,1207025,N/A,782320,N/A,86200,4900,N/A,46284,501139,N/A,759167,N/A,251,1458,90557,95,81712,89.2,282472,308416,2271530,502968,82.6,451402,74.1,1246751,204762,341686,527998,77.6,472917,69.5,1299629,190991,305739,90267,12.3,90266,13.3,88078,14.5,84324,15.3,35486,38.7,N/A,N/A
Alabama,11980900,244349,314057,6947815,141700,6464476,169454,3180917,64.9,2925461,76.7,2601816,53.1,2408870,63.1,6425240,N/A,5131560,N/A,402200,21900,N/A,179726,3008326,N/A,3758272,N/A,649,842,837844,95,722920,85.1,2216444,260808,1409790,3097724,74,2545893,60.8,6796017,162317,286153,3172321,68.8,2598610,56.4,6931467,150395,259955,327344,6.7,327344,7.1,326508,7.8,320272,8.4,178637,21,N/A,N/A
Arkansas,8080740,267769,348661,4822438,159800,4391239,189470,2104275,69.7,1882777,81.2,1712688,56.8,1542080,66.5,4459320,N/A,3333420,N/A,263800,24200,N/A,126157,2054336,N/A,2633796,N/A,3583,4566,522267,95,439695,83.9,1487039,283850,1542470,2022502,79.1,1655507,64.7,4670942,182655,315994,2094118,74,1708726,60.4,4805140,169833,285605,298624,9.9,298605,10.6,295254,11.5,288421,12.4,161359,30.8,N/A,N/A
American Samoa,128480,271101,410021,115016,242691,85543,272995,46149,95,32762,95,42439,89.5,29937,95,102380,N/A,25500,N/A,600,N/A,N/A,580,25538,N/A,87622,N/A,N/A,1276,3307,95,2993,91.3,9437,287889,3919460,39549,95,36365,95,102248,276967,348024,46131,95,42439,95,114997,266752,298028,412,0.9,412,1,409,1.1,405,1.3,154,4.7,N/A,N/A
Arizona,19182890,263548,340214,14363096,197330,12835219,227636,5622037,77.2,4896276,86.8,4793208,65.9,4219096,74.8,11412470,N/A,7134120,N/A,618900,17400,N/A,384512,5537626,N/A,8388494,N/A,1772,50692,1336161,95,1183113,90.4,4372290,334111,1465870,5323839,85.8,4572955,73.7,13765504,221807,309099,5586033,81.6,4779515,69.8,14297032,208748,280086,986614,13.6,986601,14.4,967248,15.6,932890,16.5,468611,35.8,N/A,N/A
Bureau of Prisons,409290,N/A,N/A,344836,N/A,344834,N/A,154884,N/A,154882,N/A,141056,N/A,141055,N/A,213270,N/A,179820,N/A,16200,N/A,N/A,14831,156158,N/A,173809,N/A,N/A,38,4197,N/A,3806,N/A,11801,N/A,N/A,154882,N/A,141055,N/A,344834,N/A,N/A,154882,N/A,141055,N/A,344834,N/A,N/A,7912,N/A,7912,N/A,7912,N/A,7912,N/A,579,N/A,N/A,N/A
California,116839445,295705,381609,87022479,220242,77083021,251761,33365881,84.4,28909857,94.4,29419459,74.5,25566255,83.5,71263165,N/A,41665480,N/A,3779100,131700,N/A,2312848,32561173,N/A,52126801,N/A,8956,12701,6028289,95,5416277,92.8,19878726,340499,2001320,31432167,93.4,27835453,82.7,82929614,246475,347258,33052726,89,29235054,78.7,86411620,232737,314689,7078313,17.9,7072528,19,6894212,20.5,6621097,21.6,2527669,43.3,N/A,N/A
Colorado,16995295,295122,377739,12798785,222250,11433558,254123,4803715,83.4,4198655,93.3,4220667,73.3,3713214,82.5,10496055,N/A,5975940,N/A,500800,22500,N/A,346096,4814076,N/A,7617067,N/A,2400,19146,899767,95,815620,95,3114879,369757,2017460,4526373,91.7,4006051,81.2,12201868,247198,344309,4749985,87.5,4194073,77.3,12687631,233807,313189,1122201,19.5,1121906,20.7,1094319,22.2,1051096,23.4,421098,50,N/A,N/A
Connecticut,11509775,322829,405581,8923808,250297,7985989,281410,3643899,95,3204367,95,2954472,82.9,2594408,91.4,6691895,N/A,4456480,N/A,353100,8300,N/A,252546,3411890,N/A,5257418,N/A,649,1305,817479,95,652134,95,2447322,388313,1826240,3459917,95,2807879,90.4,8552108,275346,370572,3616488,95,2938660,86.9,8870041,262150,340166,818134,22.9,817815,24.2,803229,25.9,775949,27.3,353071,56,N/A,N/A
