case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat
3034125,27-021080,2010-WTE-10526-OE,29346,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.729294,44.912594
3034126,27-021262,2010-WTE-10527-OE,27560,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.715195,44.911694
3034121,27-021261,2010-WTE-10522-OE,27559,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.71479,44.916992
3034124,27-020972,2010-WTE-10525-OE,29347,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.732491,44.912594
3034122,27-021260,2010-WTE-10523-OE,27558,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.710396,44.916992
3034123,27-020969,2010-WTE-10524-OE,29345,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.735695,44.912594
3034127,27-021263,2010-WTE-10528-OE,27561,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.711288,44.911694
3046404,27-021660,2013-WTE-6008-OE,29405,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.735695,44.916992
3034120,27-020973,2010-WTE-10521-OE,29348,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.718994,44.916691
3034117,27-020981,2010-WTE-10518-OE,29350,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.731689,44.916992
3034119,27-020984,2010-WTE-10520-OE,29349,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.72319,44.916992
3034118,27-020985,2010-WTE-10519-OE,29351,57375,MN,Meeker County,27093,"Adams Wind Generations, LLC",2011,12,19.8,Alstom,ECO 86,1670,80,85.5,5741.46,122.8,0,NA,3,3,2/8/2019,Digital Globe,-94.727394,44.916992
