series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests,episode_count
1,1,2010-08-17,2.24,7,12,NA,NA,1
1,2,2010-08-24,3,3,10,NA,NA,2
1,3,2010-08-31,3,2,11,NA,NA,3
1,4,2010-09-07,2.6,4,11,NA,NA,4
1,5,2010-09-14,3.03,1,10,NA,NA,5
1,6,2010-09-21,2.75,1,10,NA,NA,6
2,1,2011-08-16,3.1,2,8,NA,NA,7
2,2,2011-08-23,3.53,2,8,NA,NA,8
2,3,2011-08-30,3.82,1,8,NA,NA,9
2,4,2011-09-06,3.6,1,7,NA,NA,10
2,5,2011-09-13,3.8299999999999996,1,8,NA,NA,11
2,6,2011-09-20,4.25,1,6,NA,NA,12
2,7,2011-09-27,4.42,1,5,NA,NA,13
2,8,2011-10-04,5.06,1,5,NA,NA,14
3,1,2012-08-14,3.8499999999999996,1,7,NA,NA,15
3,2,2012-08-21,4.6,1,5,NA,NA,16
3,3,2012-08-28,4.53,1,5,NA,NA,17
3,4,2012-09-04,4.71,1,4,NA,NA,18
3,5,2012-09-11,4.609999999999999,1,3,NA,NA,19
3,6,2012-09-18,4.819999999999999,1,3,NA,NA,20
3,7,2012-09-25,5.1,1,4,NA,NA,21
3,8,2012-10-02,5.35,1,4,NA,NA,22
3,9,2012-10-09,5.7,1,4,NA,NA,23
3,10,2012-10-16,6.74,1,3,NA,NA,24
4,1,2013-08-20,6.6,1,11,3,NA,25
4,2,2013-08-27,6.6499999999999995,1,12,3,NA,26
4,3,2013-09-03,7.17,1,13,3,NA,27
4,4,2013-09-10,6.819999999999999,1,18,1,NA,28
4,5,2013-09-17,6.95,1,17,3,NA,29
4,6,2013-09-24,7.319999999999999,1,16,2,NA,30
4,7,2013-10-01,7.76,1,13,2,NA,31
4,8,2013-10-08,7.41,1,12,2,NA,32
4,9,2013-10-15,7.41,1,18,2,NA,33
4,10,2013-10-22,9.450000000000001,1,4,1,NA,34
5,1,2014-08-06,8.51,1,1,NA,NA,35
5,2,2014-08-13,8.79,1,1,NA,NA,36
5,3,2014-08-20,9.28,1,1,NA,NA,37
5,4,2014-08-27,10.25,1,2,NA,NA,38
5,5,2014-09-03,9.950000000000001,1,2,NA,NA,39
5,6,2014-09-10,10.129999999999999,1,2,NA,NA,40
5,7,2014-09-17,10.28,1,2,NA,NA,41
5,8,2014-09-24,9.023,2,4,NA,NA,42
5,9,2014-10-01,10.67,1,1,NA,NA,43
5,10,2014-10-08,13.51,1,1,NA,NA,44
6,1,2015-08-05,11.62,11.729999999999999,1,1,2063000,45
6,2,2015-08-12,11.59,11.84,1,1,1977000,46
