area,course,title
AMST,115.00,Introduction to American Studies
AMST,238.00,9/11 and the War on Terror in American Culture
AMST,287.07,California Program: California Art and Visual Culture
AMST,345.00,Theory and Practice of American Studies
ARBC,102.01,Elementary Arabic
ARBC,205.00,Intermediate Arabic
ARCN,211.00,Coercion and Exploitation: Material Histories of Labor
ARTH,102.00,Introduction to Art History II
ARTH,155.00,Islamic Art and Architecture
ARTH,171.00,History of Photography
ARTH,220.00,The Origins of Manga: Japanese Prints
ARTH,240.00,Art Since 1945
ARTH,324.00,The Sexuality of Jesus Christ
ARTS,110.01,Observational Drawing
ARTS,110.02,Observational Drawing
ARTS,122.01,Introduction to Sculpture
ARTS,130.00,Beginning Ceramics
ARTS,139.01,Beginning Photography
ARTS,151.01,Metalsmithing
ARTS,212.07,Studio Art Seminar in the South Pacific: Mixed-Media Drawing
ARTS,232.00,Ceramics: Handbuilding
ARTS,244.00,Alternative Processes
ARTS,260.00,Painting
ARTS,273.07,Studio Art Seminar in the South Pacific: Printmaking
ARTS,274.00,Printmaking – Silkscreen and Relief
ARTS,275.07,Studio Art Program: The Physical and Cultural Environment
ASTR,110.00,Introduction to Astronomy
BIOC,301.00,Survey of Biochemistry
BIOL,101.00,Human Reproduction and Sexuality
BIOL,125.52,"Genes, Evolution, and Development and Lab"
BIOL,125.53,"Genes, Evolution, and Development and Lab"
BIOL,125.59,"Genes, Evolution, and Development and Lab"
BIOL,125.62,"Genes, Evolution, and Development and Lab"
BIOL,125.63,"Genes, Evolution, and Development and Lab"
BIOL,125.69,"Genes, Evolution, and Development and Lab"
BIOL,126.52,Energy Flow in Biological Systems and Lab
BIOL,126.53,Energy Flow in Biological Systems and Lab
BIOL,126.54,Energy Flow in Biological Systems and Lab
BIOL,126.62,Energy Flow in Biological Systems and Lab
BIOL,126.63,Energy Flow in Biological Systems and Lab
BIOL,126.64,Energy Flow in Biological Systems and Lab
BIOL,210.00,Global Change Biology
BIOL,220.00,Disease Ecology and Evolution
BIOL,240.00,Genetics
BIOL,248.00,Behavioral Ecology
BIOL,310.00,Immunology
BIOL,332.00,Human Physiology
BIOL,378.00,Seminar: The Origin and Early Evolution of Life
BIOL,385.00,Seminar: Microbial Pathology
CAMS,111.01,Digital Foundations
CAMS,111.02,Digital Foundations
CAMS,177.00,Television Studio Production
CAMS,214.00,Film History III
CAMS,225.00,Film Noir: The Dark Side of the American Dream
CAMS,246.00,Documentary Studies
CAMS,265.00,Sound Design
CAMS,279.00,Screenwriting
CAMS,371.00,Advanced Production Workshop II
CAMS,400.00,Integrative Exercise
CAMS,400.01,Integrative Exercise
CAMS,400.02,Integrative Exercise
CAMS,400.03,Integrative Exercise
CCST,270.00,Creative Travel Writing Workshop
CGSC,130.00,Revolutions in Mind:  An Introduction to Cognitive Science
CGSC,236.00,"Thinking, Reasoning, and Decision Making"
CGSC,330.00,Embodied Cognition
CGSC,382.00,Cognitive Development in Children and Adolescents
CHEM,123.52,Principles of Chemistry I With Problem Solving and Lab
CHEM,123.54,Principles of Chemistry I and Lab
CHEM,123.59,Principles of Chemistry I and Lab
CHEM,224.52,Principles of Chemistry II and Lab
CHEM,224.57,Principles of Chemistry II and Lab
CHEM,233.54,Organic Chemistry I and Lab
CHEM,233.59,Organic Chemistry I and Lab
CHEM,234.52,Organic Chemistry II and Lab
CHEM,234.57,Organic Chemistry II and Lab
CHEM,289.00,Climate & Health: From Science to Practice in Ethiopia
CHEM,330.00,Instrumental Chemical Analysis
CHEM,344.00,Quantum Chemistry
CHIN,102.01,Elementary Chinese
CHIN,205.01,Intermediate Chinese
CHIN,205.02,Intermediate Chinese
CHIN,250.00,Chinese Popular Culture in Translation
CHIN,360.00,Classical Chinese
CLAS,119.00,Under the Ashes of Vesuvius
CLAS,240.00,Rome: From Village to Superpower
CS,111.01,Introduction to Computer Science
CS,111.02,Introduction to Computer Science
CS,201.01,Data Structures
CS,201.02,Data Structures
CS,202.00,Mathematics of Computer Science
CS,208.00,Introduction to Computer Systems
CS,251.00,Programming Languages: Design and Implementation
CS,252.00,Algorithms
CS,254.00,Computability and Complexity
CS,257.00,Software Design
CS,321.00,Making Decisions with Artificial Intelligence
CS,348.00,Parallel and Distributed Computing
DGAH,110.00,Hacking the Humanities
ECON,110.01,Principles of Macroeconomics
ECON,110.02,Principles of Macroeconomics
ECON,110.03,Principles of Macroeconomics
ECON,111.01,Principles of Microeconomics
ECON,111.02,Principles of Microeconomics
ECON,111.03,Principles of Microeconomics
ECON,240.00,Microeconomics of Development
ECON,267.00,Behavioral Economics
ECON,270.00,Economics of the Public Sector
ECON,271.00,Economics of Natural Resources and the Environment
ECON,330.00,Intermediate Price Theory
